,Year,Match_Number,Time,Stadium,Team1,Team1_score,Team1_Overs_Played,Team2,Team2_score,Team2_Overs_Played,Win_team
484,2015,Match 32,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,187/5,20/20,Rajasthan Royals,179/7,20/20,Mumbai Indians
485,2015,Match 31,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,119/1,13.5/20,Punjab Kings,118/8,20/20,Delhi Capitals
486,2015,Match 30,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,169/3,19.5/20,Chennai Super Kings,165/9,20/20,Kolkata Knight Riders
487,2015,Match 28,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,134/6,20/20,Kolkata Knight Riders,132/9,20/20,Chennai Super Kings
488,2015,Match 27,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,130/9,20/20,Sunrisers Hyderabad,150/6,20/20,Sunrisers Hyderabad
489,2015,Match 26,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,95,18.2/20,Royal Challengers Bangalore,99/0,10.3/20,Royal Challengers Bangalore
490,2015,Match 24,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,192/3,20/20,Punjab Kings,95/9,20/20,Chennai Super Kings
491,2015,Match 23,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,157/8,20/20,Sunrisers Hyderabad,137/8,20/20,Mumbai Indians
492,2015,Match 22,20:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,130/9,20/20,Royal Challengers Bangalore,134/1,16.1/20,Royal Challengers Bangalore
493,2015,Match 21,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,190/4,20/20,Mumbai Indians,153/9,20/20,Delhi Capitals
494,2015,Match 20,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,154/8,20/20,Chennai Super Kings,181/8,20/20,Chennai Super Kings
495,2015,Match 19,16:00,"ACA-VDCA Stadium, Visakhapatnam",Sunrisers Hyderabad,176/4,20/20,Kolkata Knight Riders,101/4,12/12,Sunrisers Hyderabad
496,2015,Match 18,20:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,191/6,20/20,Punjab Kings,191/6,20/20,Kings XI Punjab
497,2015,Match 17,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,146/8,20/20,Kolkata Knight Riders,147/4,18.1/20,Kolkata Knight Riders
498,2015,Match 16,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,191/7,20/20,Mumbai Indians,209/7,20/20,Mumbai Indians
499,2015,Match 15,16:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,157/2,18.2/20,Chennai Super Kings,156/4,20/20,Rajasthan Royals
500,2015,Match 14,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Punjab Kings,155/9,20/20,Kolkata Knight Riders,159/6,17.5/20,Kolkata Knight Riders
501,2015,Match 13,16:00,"ACA-VDCA Stadium, Visakhapatnam",Sunrisers Hyderabad,163/8,20/20,Delhi Capitals,167/4,20/20,Delhi Capitals
502,2015,Match 12,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,183/7,20/20,Chennai Super Kings,189/4,16.4/20,Chennai Super Kings
503,2015,Match 11,20:00,"ACA-VDCA Stadium, Visakhapatnam",Sunrisers Hyderabad,127/5,20/20,Rajasthan Royals,131/4,20/20,Rajasthan Royals
504,2015,Match 10,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Punjab Kings,165/7,20/20,Delhi Capitals,169/5,19.5/20,Delhi Capitals
505,2015,Match 9,20:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,165/3,19.1/20,Mumbai Indians,164/5,20/20,Rajasthan Royals
506,2015,Match 8,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,166,19.5/20,Sunrisers Hyderabad,172/2,17.2/20,Sunrisers Hyderabad
507,2015,Match 7,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,159/7,20/20,Punjab Kings,177/5,20/20,Punjab Kings
508,2015,Match 6,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,184/3,20/20,Rajasthan Royals,186/7,20/20,Rajasthan Royals
509,2015,Match 5,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,177/6,20/20,Royal Challengers Bangalore,179/7,19/20,Royal Challengers Bangalore
510,2015,Match 4,16:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,209/4,20/20,Sunrisers Hyderabad,164/6,20/20,Chennai Super Kings
511,2015,Match 3,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Punjab Kings,136/8,20/20,Rajasthan Royals,162/7,20/20,Rajasthan Royals
512,2015,Match 2,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,150/7,20/20,Delhi Capitals,149/9,20/20,Chennai Super Kings
513,2015,Match 1,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,170/3,18.3/20,Mumbai Indians,168/3,20/20,Kolkata Knight Riders
514,2016,Final,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,200/7,20/20,Sunrisers Hyderabad,208/7,20/20,Sunrisers Hyderabad
515,2016,Qualifier 2,20:00,"Arun Jaitley Stadium, Delhi",Gujarat Lions,162/7,20/20,Sunrisers Hyderabad,163/6,19.2/20,Sunrisers Hyderabad
516,2016,Eliminator,20:00,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,162/8,20/20,Kolkata Knight Riders,140/8,20/20,Sunrisers Hyderabad
517,2016,Qualifier 1,20:00,"M. Chinnaswamy Stadium, Bengaluru",Gujarat Lions,158,20/20,Royal Challengers Bangalore,159/6,18.2/20,Royal Challengers Bangalore
518,2016,Match 56,20:00,"Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur",Delhi Capitals,138/8,20/20,Royal Challengers Bangalore,139/4,18.1/20,Royal Challengers Bangalore
519,2016,Match 55,16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,171/6,20/20,Sunrisers Hyderabad,149/8,20/20,Kolkata Knight Riders
520,2016,Match 54,20:00,"Green Park, Kanpur",Gujarat Lions,173/4,17.5/20,Mumbai Indians,172/8,20/20,Gujarat Lions
521,2016,Match 53,16:00,"ACA-VDCA Stadium, Visakhapatnam",Rising Pune Supergiant,173/6,20/20,Punjab Kings,172/7,20/20,Rising Pune Supergiant
522,2016,Match 52,20:00,"Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur",Delhi Capitals,161/4,20/20,Sunrisers Hyderabad,158/7,20/20,Delhi Capitals
523,2016,Match 51,20:00,"Green Park, Kanpur",Gujarat Lions,125/4,13.3/20,Kolkata Knight Riders,124/8,20/20,Gujarat Lions
524,2016,Match 50,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,211/3,15/15,Punjab Kings,120/9,14/14,Royal Challengers Bangalore
525,2016,Match 49,20:00,"ACA-VDCA Stadium, Visakhapatnam",Rising Pune Supergiant,76/1,11/11,Delhi Capitals,121/6,20/20,Rising Pune Supergiant
526,2016,Match 48,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,183/5,20/20,Royal Challengers Bangalore,186/1,18.4/20,Royal Challengers Bangalore
527,2016,Match 47,20:00,"ACA-VDCA Stadium, Visakhapatnam",Mumbai Indians,206/4,20/20,Delhi Capitals,126,19.1/20,Mumbai Indians
528,2016,Match 46,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,179/4,20/20,Sunrisers Hyderabad,180/3,19.4/20,Sunrisers Hyderabad
529,2016,Match 45,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,66/2,5/9,Rising Pune Supergiant,103/6,17.4/17,Kolkata Knight Riders
530,2016,Match 44,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,248/3,20/20,Gujarat Lions,104,18.4/20,Royal Challengers Bangalore
531,2016,Match 43,20:00,"ACA-VDCA Stadium, Visakhapatnam",Mumbai Indians,124/9,20/20,Punjab Kings,127/3,17/20,Punjab Kings
532,2016,Match 42,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,146/8,20/20,Delhi Capitals,150/3,18.1/20,Delhi Capitals
533,2016,Match 41,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,151/4,20/20,Mumbai Indians,153/4,18.4/20,Mumbai Indians
534,2016,Match 40,20:00,"ACA-VDCA Stadium, Visakhapatnam",Rising Pune Supergiant,133/8,20/20,Sunrisers Hyderabad,137/8,20/20,Sunrisers Hyderabad
535,2016,Match 39,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,174/4,20/20,Royal Challengers Bangalore,175/6,20/20,Royal Challengers Bangalore
536,2016,Match 38,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,158/4,20/20,Gujarat Lions,164/5,18/20,Gujarat Lions
537,2016,Match 37,16:00,"ACA-VDCA Stadium, Visakhapatnam",Mumbai Indians,92,16.3/20,Sunrisers Hyderabad,177/3,20/20,Sunrisers Hyderabad
538,2016,Match 36,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,181/5,20/20,Delhi Capitals,172/5,20/20,Punjab Kings
539,2016,Match 35,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,195/3,19.3/20,Rising Pune Supergiant,191/6,20/20,Royal Challengers Bangalore
540,2016,Match 34,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,129/5,19/20,Gujarat Lions,126/6,20/20,Sunrisers Hyderabad
